country,year,disease_name,disease_category,prevalence_rate_pct,incidence_rate_pct,mortality_rate_pct,age_group,gender,population_affected,healthcare_access_pct,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines/treatment,recovery_rate_pct,dalys,improvement_in_5_years_pct,per_capita_income_usd,education_index,urbanization_rate_pct,outlier_mortality,disease_burden_score,mortality_prevalence_ratio,risk_level,health_infra_index
Australia,2024,Measles,Genetic,5.88,12.37,4.73,36-60,Other,767034,81.29,3.62,6.73,Surgery,33829,No,75.4,2921,7.85,50348,0.87,56.51,False,81240.0204,0.8042849855466758,Medium,5.175000000000001
South Africa,2017,Hepatitis,Neurological,10.72,6.64,7.89,0-18,Male,22434,93.27,1.15,5.08,Therapy,32840,No,70.46,3298,7.44,41156,0.68,41.79,False,278947.47839999996,0.7359388116780151,High,3.115
Argentina,2006,Measles,Infectious,3.95,4.0,8.84,0-18,Male,116183,77.08,4.75,6.01,Surgery,22983,No,64.73,3375,1.49,27909,0.76,79.55,False,117848.25,2.237408251075677,Medium,5.38
USA,2002,Hepatitis,Respiratory,7.13,6.96,4.02,61+,Other,251611,53.4,2.28,2.55,Therapy,45671,Yes,94.23,1869,1.21,84905,0.82,88.36,False,53570.399399999995,0.5637358014303744,Medium,2.415
USA,2012,Diabetes,Chronic,4.9,6.6,6.16,61+,Female,438583,53.83,1.33,5.89,Surgery,40367,Yes,95.01,1674,5.37,48607,0.74,80.33,False,50528.01600000001,1.256886349724546,Medium,3.61
Australia,2017,Cholera,Chronic,6.33,12.84,2.47,36-60,Female,183029,67.22,0.73,0.72,Therapy,39219,No,87.03,2658,3.29,30332,0.77,23.65,False,41558.0958,0.39014373716632444,Medium,0.725
Turkey,2003,HIV/AIDS,Metabolic,18.56,0.9,7.51,0-18,Female,751970,92.95,0.89,2.85,Vaccination,25402,No,78.8,3688,2.15,57913,0.64,41.13,False,514054.0927999999,0.4046118204838101,High,1.87
India,2017,Polio,Cardiovascular,1.26,6.79,7.42,36-60,Other,243846,50.4,2.08,5.39,Medication,9681,No,60.5,4084,6.72,56210,0.56,78.17,False,38182.1328,5.884218873909596,Medium,3.735
India,2010,Ebola,Genetic,4.21,11.0,7.01,0-18,Male,656226,73.58,2.35,2.5,Medication,27378,Yes,75.42,1953,4.68,44096,0.76,84.27,False,57637.1313,1.6646877226312038,Medium,2.425
Turkey,2009,Parkinson's Disease,Parasitic,0.13,4.88,5.56,36-60,Other,928625,77.83,1.09,7.68,Surgery,16925,No,92.6,1011,9.73,4928,0.56,21.46,False,730.7508,42.44274809160305,Medium,4.385
Brazil,2024,Diabetes,Genetic,0.73,9.28,1.09,19-35,Male,4233,54.43,2.58,3.1,Therapy,2078,No,61.8,386,3.23,73287,0.74,25.44,False,307.14020000000005,1.491108071135431,Low,2.84
Saudi Arabia,2013,Zika,Cardiovascular,5.02,12.51,7.95,36-60,Male,438887,83.75,4.59,2.83,Medication,785,No,60.11,561,7.37,50267,0.64,34.56,False,22388.949,1.5833499302927705,Medium,3.71
Japan,2003,Zika,Cardiovascular,8.85,10.11,5.56,61+,Male,176109,74.09,4.95,4.28,Vaccination,3231,No,67.02,2578,4.26,54291,0.63,45.8,False,126853.06799999998,0.6281776070500509,Medium,4.615
Mexico,2013,Influenza,Neurological,6.53,3.9,6.61,19-35,Female,845940,59.02,1.28,6.74,Medication,13525,No,96.32,4051,8.44,20428,0.53,68.48,False,174854.52830000003,1.0120961567906905,Medium,4.01
Germany,2008,Polio,Metabolic,15.02,0.38,7.85,19-35,Male,675112,95.64,2.01,9.62,Medication,37518,Yes,62.14,4181,5.4,66035,0.75,84.16,False,492969.16699999996,0.522601690965981,High,5.8149999999999995
UK,2001,Asthma,Respiratory,15.09,1.39,5.28,19-35,Other,196827,66.84,1.08,1.76,Surgery,44835,No,52.0,2761,8.41,97683,0.88,66.41,False,219983.22720000002,0.34987741037704595,High,1.42
France,2012,Polio,Genetic,17.97,14.95,0.51,61+,Male,472620,70.33,4.06,6.18,Vaccination,38948,No,58.35,2145,7.04,48508,0.89,42.88,False,19658.2815,0.02837905514439931,Low,5.119999999999999
Italy,2002,Hepatitis,Metabolic,11.27,14.1,6.54,61+,Other,411017,97.91,2.91,6.25,Surgery,1544,No,92.64,1654,3.75,6620,0.89,48.04,False,121909.39319999999,0.5802501996273624,High,4.58
Russia,2009,COVID-19,Respiratory,19.48,10.41,3.4,19-35,Male,929016,97.88,0.86,6.51,Surgery,12023,Yes,86.8,1771,8.2,63115,0.59,57.31,False,117296.872,0.174529028283969,Medium,3.685
UK,2008,Cancer,Bacterial,8.12,8.58,5.85,0-18,Male,432506,57.81,0.79,6.69,Vaccination,40742,No,97.46,812,9.21,5939,0.41,32.76,False,38571.623999999996,0.7203546361285557,Medium,3.74
Nigeria,2003,Polio,Infectious,8.2,13.28,8.04,19-35,Male,197972,56.79,2.71,6.53,Medication,27625,No,63.55,1881,4.38,2347,0.45,68.52,False,124010.56799999997,0.9803682477746617,Medium,4.62
Australia,2013,Cancer,Cardiovascular,16.13,7.82,2.81,36-60,Male,75709,99.72,3.31,9.49,Therapy,24545,No,57.43,2607,2.22,41811,0.78,37.57,False,118163.05709999999,0.17419874775277416,Medium,6.4
Canada,2015,Cholera,Respiratory,0.2,12.46,0.62,19-35,Male,997992,60.93,3.26,4.44,Therapy,10376,Yes,93.68,2406,4.59,72805,0.74,22.52,False,298.344,3.0845771144278604,Low,3.85
UK,2023,Polio,Bacterial,10.69,5.69,3.12,19-35,Male,55467,53.02,3.58,2.32,Vaccination,10052,No,71.01,959,5.57,87935,0.64,89.02,False,31985.3352,0.29183425311009265,Medium,2.95
South Africa,2001,Dengue,Viral,5.36,12.16,1.15,36-60,Other,943366,59.36,1.21,2.65,Therapy,19131,Yes,86.17,456,6.91,77661,0.83,39.8,False,2810.7839999999997,0.21451221786980038,Low,1.93
USA,2020,Influenza,Metabolic,8.06,0.4,2.78,61+,Male,871292,60.95,2.81,8.16,Therapy,49671,Yes,58.75,1458,1.23,31474,0.73,55.38,False,32669.114400000002,0.3448703634784766,Medium,5.485
Argentina,2012,Malaria,Genetic,2.71,10.97,5.68,19-35,Female,837164,95.72,3.28,3.33,Surgery,26506,Yes,89.14,2779,6.35,56606,0.49,67.91,False,42776.591199999995,2.095167834747326,Medium,3.3049999999999997
Brazil,2021,Malaria,Parasitic,12.12,4.91,5.55,0-18,Male,767760,76.47,3.31,9.86,Vaccination,38837,No,76.76,4643,6.57,53833,0.41,64.3,False,312316.03799999994,0.4578830129527267,High,6.585
China,2013,Cancer,Viral,15.57,4.01,4.44,36-60,Male,386948,98.78,4.17,7.51,Medication,3109,No,67.24,1330,7.33,77104,0.48,61.36,False,91943.964,0.2851454627191574,Medium,5.84
Brazil,2009,Rabies,Autoimmune,4.96,5.73,6.74,61+,Male,468156,80.73,4.03,9.4,Therapy,15324,No,90.18,3420,9.89,94506,0.48,68.94,False,114331.968,1.3585970570449506,Medium,6.715
Russia,2012,Asthma,Chronic,4.82,6.69,2.02,36-60,Female,695608,86.77,1.97,7.3,Therapy,16648,No,94.04,3429,0.77,80558,0.88,67.57,False,33386.115600000005,0.4190002074258452,Medium,4.635
Brazil,2016,Leprosy,Autoimmune,1.22,11.06,9.54,61+,Female,78563,77.08,2.28,4.37,Medication,20016,No,86.81,2023,0.05,15506,0.41,36.11,False,23545.292399999995,7.813267813267814,Medium,3.325
Russia,2021,Diabetes,Autoimmune,14.29,1.57,7.12,0-18,Female,920061,70.1,2.61,4.03,Vaccination,38676,No,87.97,2370,0.24,87314,0.75,39.47,False,241135.176,0.49821566020572394,High,3.3200000000000003
Turkey,2020,Parkinson's Disease,Bacterial,19.87,2.85,8.83,0-18,Other,869772,95.5,4.54,6.46,Therapy,42978,No,91.8,66,3.67,14709,0.53,48.44,False,11579.838600000001,0.4443661617432439,High,5.5
Mexico,2008,Dengue,Parasitic,3.21,9.93,3.15,19-35,Other,173719,78.85,0.58,4.91,Therapy,49028,No,92.23,3335,4.82,13343,0.53,74.5,False,33721.8525,0.9810028028651511,Medium,2.745
Australia,2020,Malaria,Genetic,12.89,12.34,1.52,36-60,Other,108176,54.73,3.32,5.35,Medication,9153,Yes,85.7,3411,1.03,13201,0.62,34.93,False,66831.0408,0.1179117213559848,Low,4.335
Australia,2006,Hypertension,Respiratory,13.42,7.87,6.43,19-35,Female,635718,86.96,1.89,3.9,Medication,34292,No,59.44,23,5.58,54642,0.61,24.4,False,1984.6838,0.4790999180388943,High,2.895
Nigeria,2013,COVID-19,Genetic,16.42,3.73,9.38,0-18,Other,54680,79.4,1.94,1.49,Therapy,18609,Yes,59.41,3752,8.61,1528,0.46,70.12,False,577881.5392000001,0.5712197795505755,High,1.7149999999999999
Japan,2013,Alzheimer's Disease,Metabolic,6.24,2.74,0.38,19-35,Female,574312,88.68,0.82,4.68,Vaccination,22952,Yes,51.68,2959,0.87,17778,0.8,34.27,False,7016.3808,0.06088767825668963,Low,2.75
South Korea,2023,Ebola,Chronic,9.74,11.62,3.87,0-18,Male,15852,91.8,2.92,8.71,Vaccination,33473,Yes,76.67,3585,3.33,33284,0.53,47.29,False,135132.27300000002,0.39728980597474595,Medium,5.815
Saudi Arabia,2024,Malaria,Chronic,13.4,11.44,9.59,61+,Other,259325,63.99,3.16,5.84,Surgery,14273,Yes,90.56,4937,7.2,78046,0.64,70.02,False,634434.122,0.7156182374449668,High,4.5
China,2023,Cancer,Genetic,18.82,1.97,0.55,19-35,Male,421832,87.89,1.42,3.33,Vaccination,49084,Yes,83.95,2231,1.4,49305,0.65,30.79,False,23093.081000000002,0.029222676797194622,Low,2.375
China,2013,Hepatitis,Metabolic,15.83,0.95,2.06,36-60,Male,696874,72.54,2.28,8.5,Surgery,44472,Yes,54.76,1410,9.36,33958,0.83,40.23,False,45979.818,0.13012443939106816,Medium,5.39
Australia,2003,Measles,Cardiovascular,13.62,5.88,2.9,61+,Male,664678,90.61,3.14,4.88,Vaccination,16650,No,58.4,3739,9.92,64000,0.56,84.69,False,147683.022,0.2129065413699435,Medium,4.01
Japan,2010,Tuberculosis,Metabolic,8.19,14.32,5.89,0-18,Other,313216,57.24,2.33,7.01,Surgery,13382,No,90.54,3489,2.94,44123,0.41,52.46,False,168306.21989999997,0.7190819191795874,Medium,4.67
Turkey,2007,Dengue,Bacterial,15.55,12.9,6.0,61+,Male,445868,73.53,0.85,7.33,Therapy,46459,No,83.86,836,1.69,94847,0.5,37.61,False,77998.8,0.38582727798855376,High,4.09
South Korea,2007,Cholera,Genetic,5.13,6.29,2.12,61+,Other,641206,85.48,0.67,4.46,Surgery,4233,Yes,65.96,1354,3.11,27899,0.74,47.13,False,14725.5624,0.4131748197232508,Medium,2.565
Mexico,2009,Ebola,Autoimmune,12.49,5.49,6.46,36-60,Male,970906,92.74,3.13,2.29,Medication,10256,Yes,94.83,556,7.33,92918,0.56,34.93,False,44861.0824,0.5171723641021536,High,2.71
USA,2023,Dengue,Parasitic,12.0,5.12,9.81,19-35,Male,825564,60.93,2.6,7.1,Surgery,45724,Yes,52.79,2735,9.81,22960,0.84,59.6,False,321964.2,0.8174318806766103,High,4.85
USA,2004,Leprosy,Parasitic,12.46,8.02,2.27,36-60,Male,741313,51.61,3.24,5.53,Surgery,26577,No,93.78,4853,1.79,69394,0.51,52.76,False,137263.2226,0.18216836529973518,Medium,4.385
Russia,2017,Diabetes,Respiratory,15.96,10.06,5.16,19-35,Male,753582,61.65,2.47,5.49,Medication,48049,No,58.86,4099,1.28,48858,0.59,75.36,False,337567.4064,0.3232880145354301,High,3.9800000000000004
Saudi Arabia,2007,Diabetes,Parasitic,5.5,14.36,9.2,19-35,Other,546335,71.61,3.51,8.95,Surgery,37978,No,54.99,3313,4.68,65831,0.71,38.02,False,167637.8,1.6724231957825848,Medium,6.2299999999999995
Italy,2007,Hepatitis,Bacterial,10.86,4.27,7.6,36-60,Female,786494,87.48,0.53,1.4,Surgery,32906,Yes,67.71,3487,9.22,80649,0.46,57.03,False,287803.03199999995,0.6997514041064359,High,0.965
